Row_ID,Paper_ID,Authors,Year,Title,ID_FullText,Case countries,Continent,Latitude,Longitude,Food system classification ,"Non-legume main Farm/forest products for 
 which the production is being intensified (NOT all products produced)",Legume,Legume_all,Ecological outcome,Social outcome,Combined ecological-social outcome,Description combined ecological-social outcome,Description combined ecological-social outcome
120,293,"Khan Z.R., Midega C.A.O., Njuguna E.M., Amudavi D.M., Wanyama J.M., Pickett J.A.",2008,Economic performance of the 'push-pull' technology for stemborer and Striga control in smallholder farming systems in western Kenya,108,Kenya,Africa,0.459879449,34.10989311,Grain / Common bean + Desmodium,Maize,Common Bean,Common Bean,Win,Mix,Win-Mix,Positive Ecological Outcome,Positive Ecological Outcome
354,744,"Midega, C.A.O., Salifu, D., Bruce, T.J., Pittchar, J., Pickett, J.A., Khan, Z.R., ",2014,Cumulative effects and economic benefits of intercropping maize with food legumes on Striga hermonthica infestation.,329,Kenya,Africa,-0.430619,34.206908,Grain / Common bean,Maize,Common Bean,Common Bean,Win,Mix,Win-Mix,Positive Ecological Outcome,Positive Ecological Outcome
198,435,"Ojiem J.O., Franke A.C., Vanlauwe B., de Ridder N., Giller K.E.",2014,Benefits of legume-maize rotations: Assessing the impact of diversity on the productivity of smallholders in Western Kenya,171,Kenya,Africa,0.033333,34.333333,Grain / Common bean,Maize,Common Bean,Common Bean,Win,Mix,Win-Mix,Positive Ecological Outcome,Positive Ecological Outcome
119,293,"Khan Z.R., Midega C.A.O., Njuguna E.M., Amudavi D.M., Wanyama J.M., Pickett J.A.",2008,Economic performance of the 'push-pull' technology for stemborer and Striga control in smallholder farming systems in western Kenya,108,Kenya,Africa,0.576021244,34.55457512,Grain / Common bean + Desmodium,Maize,Common Bean,Common Bean,Win,Mix,Win-Mix,Positive Ecological Outcome,Positive Ecological Outcome
122,293,"Khan Z.R., Midega C.A.O., Njuguna E.M., Amudavi D.M., Wanyama J.M., Pickett J.A.",2008,Economic performance of the 'push-pull' technology for stemborer and Striga control in smallholder farming systems in western Kenya,108,Kenya,Africa,0.06533704,34.72305489,Grain / Common bean + Desmodium,Maize,Common Bean,Common Bean,Win,Mix,Win-Mix,Positive Ecological Outcome,Positive Ecological Outcome
121,293,"Khan Z.R., Midega C.A.O., Njuguna E.M., Amudavi D.M., Wanyama J.M., Pickett J.A.",2008,Economic performance of the 'push-pull' technology for stemborer and Striga control in smallholder farming systems in western Kenya,108,Kenya,Africa,-0.678829127,34.77771774,Grain / Common bean + Desmodium,Maize,Common Bean,Common Bean,Win,Mix,Win-Mix,Positive Ecological Outcome,Positive Ecological Outcome
117,293,"Khan Z.R., Midega C.A.O., Njuguna E.M., Amudavi D.M., Wanyama J.M., Pickett J.A.",2008,Economic performance of the 'push-pull' technology for stemborer and Striga control in smallholder farming systems in western Kenya,108,Kenya,Africa,1.060145349,34.96538054,Grain / Common bean + Desmodium,Maize,Common Bean,Common Bean,Win,Mix,Win-Mix,Positive Ecological Outcome,Positive Ecological Outcome
74,198,"Gitari H.I., Nyawade S.O., Kamau S., Karanja N.N., Gachene C.K.K., Raza M.A., Maitra S., Schulte-Geldermann E.",2020,Revisiting intercropping indices with respect to potato-legume intercropping systems,75,Kenya,Africa,-1.252234405,36.72876471,Non-Grain / Common bean,Potato,Common Bean,Common Bean,Win,Mix,Win-Mix,Positive Ecological Outcome,Positive Ecological Outcome
77,199,"Gitari H.I., Gachene C.K.K., Karanja N.N., Kamau S., Nyawade S., Sharma K., Schulte-Geldermann E.",2018,Optimizing yield and economic returns of rain-fed potato (Solanum tuberosum L.) through water conservation under potato-legume intercropping systems,76,Kenya,Africa,-1.252234405,36.72876471,Non-Grain / Common bean,Potato,Common Bean,Common Bean,Win,Mix,Win-Mix,Positive Ecological Outcome,Positive Ecological Outcome
201,436,"Onduru D.D., Du Preezb C.C.",2007,Ecological and agro-economic study of small farms in sub-Saharan Africa,172,Kenya,Africa,-0.5,37.5,Grain / Common bean,Maize,Common Bean,Common Bean,Win,Mix,Win-Mix,Positive Ecological Outcome,Positive Ecological Outcome
