"uniqueID","StudyID_IDALL","Authors","Year","Title","Citation","Unit_analysis","Study_design","Case_countries","Continent","Worldbank_national_income_group","Synthetic_fertiliser_category","Water_source","All_services_average_percent_transf","All_services_average","Yield","Recoded_aspect_of_yield","Freshwater","Fuelwood","Fiber","Biochemicals","Genetic_resources","Climate_regulation","Disease_regulation","Pest_regulation","Water_regulation","Water_purification","Pollination","Soil_formation","Nutrient_cycling","Aspect of Nutrient cycling measured","Primary_production","Biodiversity_composition_spp_occurrence_abunndance","Biodiversity_structure_habitat","Biodiversity_functions_processes_soil_organic_carbon","Recoded_spect_of_function","Econ_wellbeing_average_percent_transf","Econ_wellbeing_average","Profit","Financial_security","Physical_capital","Savings_labour_cost","Combined_ecological_social_outcome"
203,418,"Nel A.A., Purchase J.L., Barnard A.",2003,"Productivity and stability of grain yield in wheat and maize as affected by rotational cropping systems in the eastern Free State","Nel, A. A., Purchase, J. L., & Barnard, A. (2013). Productivity and stability of grain yield in wheat and maize as affected by rotational cropping systems in the eastern Free State. South African Journal of Plant and Soil, 20(2), 81-86. doi:10.1080/02571862.2003.10634913","Field","Experiment (on farm)","South Africa","Africa","UMIC","Synthetic - below threshold","rainfed",51.2071259182139,1.51207125918214,"1.9796980739198333","Cumulative grain yield","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1.0444444444444445","Soil K balance (mg/kg)","NA","NA","NA","NA","NA",5.12820512820513,1.05128205128205,"NA","1.0512820512820513","NA","NA","Win-Win"
204,418,"Nel A.A., Purchase J.L., Barnard A.",2003,"Productivity and stability of grain yield in wheat and maize as affected by rotational cropping systems in the eastern Free State","Nel, A. A., Purchase, J. L., & Barnard, A. (2013). Productivity and stability of grain yield in wheat and maize as affected by rotational cropping systems in the eastern Free State. South African Journal of Plant and Soil, 20(2), 81-86. doi:10.1080/02571862.2003.10634913","Field","Experiment (on farm)","South Africa","Africa","UMIC","Synthetic - below threshold","rainfed",22.8763856664089,1.22876385666409,"1.5186388244392885","Cumulative grain yield","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.93888888888888888","Soil K balance (mg/kg)","NA","NA","NA","NA","NA",-10.2564102564103,0.897435897435897,"NA","0.89743589743589747","NA","NA","Mix-Mix"
205,418,"Nel A.A., Purchase J.L., Barnard A.",2003,"Productivity and stability of grain yield in wheat and maize as affected by rotational cropping systems in the eastern Free State","Nel, A. A., Purchase, J. L., & Barnard, A. (2013). Productivity and stability of grain yield in wheat and maize as affected by rotational cropping systems in the eastern Free State. South African Journal of Plant and Soil, 20(2), 81-86. doi:10.1080/02571862.2003.10634913","Field","Experiment (on farm)","South Africa","Africa","UMIC","Synthetic - below threshold","rainfed",29.3044171485869,1.29304417148587,"1.572843309859155","Cumulative grain yield","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1.0132450331125828","Soil K balance (mg/kg)","NA","NA","NA","NA","NA",10.8695652173913,1.10869565217391,"NA","1.1086956521739131","NA","NA","Win-Win"
206,423,"Ngwira A.R., Aune J.B., Mkwinda S.",2012,"On-farm evaluation of yield and economic benefit of short term maize legume intercropping systems under conservation agriculture in Malawi","Ngwira, A. R., Aune, J. B., & Mkwinda, S. (2012). On-farm evaluation of yield and economic benefit of short term maize legume intercropping systems under conservation agriculture in Malawi. Field Crops Research, 132, 149-157. doi:10.1016/j.fcr.2011.12.014","Plot","Experiment (on farm)","Malawi","Africa","LIC","Synthetic - below threshold","rainfed",13.5629841011007,1.13562984101101,"0.97125968202201385","Cumulative grain yield","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1.3","NA","NA","NA","NA",-2.16716420417092,0.978328357958291,"1.1184433164128595","NA","Positive","0.83821339950372198","Mix-Mix"
207,423,"Ngwira A.R., Aune J.B., Mkwinda S.",2012,"On-farm evaluation of yield and economic benefit of short term maize legume intercropping systems under conservation agriculture in Malawi","Ngwira, A. R., Aune, J. B., & Mkwinda, S. (2012). On-farm evaluation of yield and economic benefit of short term maize legume intercropping systems under conservation agriculture in Malawi. Field Crops Research, 132, 149-157. doi:10.1016/j.fcr.2011.12.015","Plot","Experiment (on farm)","Malawi","Africa","LIC","Synthetic - below threshold","rainfed",4.00707333536061,1.04007073335361,"0.96084149135596753","Cumulative grain yield","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1.1192999753512447","NA","NA","NA","NA",-2.16716420417092,0.978328357958291,"1.1184433164128595","NA","Positive","0.83821339950372198","Mix-Mix"
208,421,"Ngwira A.R., Kabambe V., Simwaka P., Makoko K., Kamoyo K.",2020,"Productivity and profitability of maize-legume cropping systems under conservation agriculture among smallholder farmers in Malawi","Ngwira, A. R., Kabambe, V., Simwaka, P., Makoko, K., & Kamoyo, K. (2020). Productivity and profitability of maize-legume cropping systems under conservation agriculture among smallholder farmers in Malawi. Acta Agriculturae Scandinavica, Section B — Soil & Plant Science, 70(3), 241-251. doi:10.1080/09064710.2020.1712470","Plot","Experiment (on farm)","Malawi","Africa","LIC","Synthetic - below threshold","rainfed",37.05419,1.3705419,"1.3705419000000001","Cumulative grain yield","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",69.7986577,1.697986577,"1.697986577","NA","NA","NA","Win-Mix"
209,421,"Ngwira A.R., Kabambe V., Simwaka P., Makoko K., Kamoyo K.",2020,"Productivity and profitability of maize-legume cropping systems under conservation agriculture among smallholder farmers in Malawi","Ngwira, A. R., Kabambe, V., Simwaka, P., Makoko, K., & Kamoyo, K. (2020). Productivity and profitability of maize-legume cropping systems under conservation agriculture among smallholder farmers in Malawi. Acta Agriculturae Scandinavica, Section B — Soil & Plant Science, 70(3), 241-251. doi:10.1080/09064710.2020.1712471","Plot","Experiment (on farm)","Malawi","Africa","LIC","Synthetic - below threshold","rainfed",38.612361,1.38612361,"1.3861236100000001","Cumulative grain yield","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-14.7651007,0.852348993,"0.852348993","NA","NA","NA","Win-Lose"
210,421,"Ngwira A.R., Kabambe V., Simwaka P., Makoko K., Kamoyo K.",2020,"Productivity and profitability of maize-legume cropping systems under conservation agriculture among smallholder farmers in Malawi","Ngwira, A. R., Kabambe, V., Simwaka, P., Makoko, K., & Kamoyo, K. (2020). Productivity and profitability of maize-legume cropping systems under conservation agriculture among smallholder farmers in Malawi. Acta Agriculturae Scandinavica, Section B — Soil & Plant Science, 70(3), 241-251. doi:10.1080/09064710.2020.1712472","Plot","Experiment (on farm)","Malawi","Africa","LIC","Synthetic - below threshold","rainfed",4.201681,1.04201681,"1.04201681","Cumulative grain yield","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-20.2247191,0.797752809,"0.79775280900000001","NA","NA","NA","Win-Mix"
211,421,"Ngwira A.R., Kabambe V., Simwaka P., Makoko K., Kamoyo K.",2020,"Productivity and profitability of maize-legume cropping systems under conservation agriculture among smallholder farmers in Malawi","Ngwira, A. R., Kabambe, V., Simwaka, P., Makoko, K., & Kamoyo, K. (2020). Productivity and profitability of maize-legume cropping systems under conservation agriculture among smallholder farmers in Malawi. Acta Agriculturae Scandinavica, Section B — Soil & Plant Science, 70(3), 241-251. doi:10.1080/09064710.2020.1712473","Plot","Experiment (on farm)","Malawi","Africa","LIC","Synthetic - below threshold","rainfed",75.969424,1.75969424,"1.75969424","Cumulative grain yield","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",26.1235955,1.261235955,"1.2612359550000001","NA","NA","NA","Win-Win"
212,421,"Ngwira A.R., Kabambe V., Simwaka P., Makoko K., Kamoyo K.",2020,"Productivity and profitability of maize-legume cropping systems under conservation agriculture among smallholder farmers in Malawi","Ngwira, A. R., Kabambe, V., Simwaka, P., Makoko, K., & Kamoyo, K. (2020). Productivity and profitability of maize-legume cropping systems under conservation agriculture among smallholder farmers in Malawi. Acta Agriculturae Scandinavica, Section B — Soil & Plant Science, 70(3), 241-251. doi:10.1080/09064710.2020.1712474","Plot","Experiment (on farm)","Malawi","Africa","LIC","Synthetic - below threshold","rainfed",13.392541,1.13392541,"1.13392541","Cumulative grain yield","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",7.17821780000001,1.071782178,"1.0717821780000001","NA","NA","NA","Win-Win"
213,421,"Ngwira A.R., Kabambe V., Simwaka P., Makoko K., Kamoyo K.",2020,"Productivity and profitability of maize-legume cropping systems under conservation agriculture among smallholder farmers in Malawi","Ngwira, A. R., Kabambe, V., Simwaka, P., Makoko, K., & Kamoyo, K. (2020). Productivity and profitability of maize-legume cropping systems under conservation agriculture among smallholder farmers in Malawi. Acta Agriculturae Scandinavica, Section B — Soil & Plant Science, 70(3), 241-251. doi:10.1080/09064710.2020.1712475","Plot","Experiment (on farm)","Malawi","Africa","LIC","Synthetic - below threshold","rainfed",33.982025,1.33982025,"1.33982025","Cumulative grain yield","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-5.9405941,0.940594059,"0.94059405900000004","NA","NA","NA","Win-Lose"
214,422,"Ngwira A.R., Thierfelder C., Lambert D.M.",2013,"Conservation agriculture systems for Malawian smallholder farmers: Long-term effects on crop productivity, profitability and soil quality","Ngwira, A. R., Thierfelder, C., & Lambert, D. M. (2012). Conservation agriculture systems for Malawian smallholder farmers: long-term effects on crop productivity, profitability and soil quality. Renewable Agriculture and Food Systems, 28(4), 350-363. doi:10.1017/s1742170512000257","Field","Experiment (on farm)","Malawi","Africa","LIC","Synthetic - below threshold","rainfed",8.39013274269369,1.08390132742694,"1.047991565368982","Cumulative grain yield","NA","NA","NA","NA","NA","NA","NA","NA","1.0551181102362206","NA","NA","1.267367882577074","NA","NA","0.96791281377664162","1.2821383745164234","NA","0.88287921808627834","Carbon",-4.8324312503417,0.951675687496583,"1.1414466130884042","NA","NA","0.76190476190476186","Mix-Mix"
215,422,"Ngwira A.R., Thierfelder C., Lambert D.M.",2013,"Conservation agriculture systems for Malawian smallholder farmers: Long-term effects on crop productivity, profitability and soil quality","Ngwira, A. R., Thierfelder, C., & Lambert, D. M. (2012). Conservation agriculture systems for Malawian smallholder farmers: long-term effects on crop productivity, profitability and soil quality. Renewable Agriculture and Food Systems, 28(4), 350-363. doi:10.1017/s1742170512000257","Field","Experiment (on farm)","Malawi","Africa","LIC","Synthetic - below threshold","rainfed",12.2964824019874,1.12296482401987,"1.115906432748538","Cumulative grain yield","NA","NA","NA","NA","NA","NA","NA","NA","1.0081190798376183","NA","NA","0.75592652070490707","NA","NA","1.2525896972097061","1.4672333086967233","NA","1.1380139049217506","Carbon",-15.3803647576997,0.846196352423003,"0.93048794294124304","NA","NA","0.76190476190476186","Mix-Lose"
216,425,"Nielsen D.C., Vigil M.F.",2017,"Intensifying a semi-arid dryland crop rotation by replacing fallow with pea","Nielsen, D. C., & Vigil, M. F. (2017). Intensifying a semi-arid dryland crop rotation by replacing fallow with pea. Agricultural Water Management, 186, 127-138. doi:10.1016/j.agwat.2017.03.003","Plot","Experiment (on farm)","USA","North America","HIC","Synthetic - below threshold","rainfed",-4.71636111167162,0.952836388883284,"0.9468372423596304","Cumulative grain yield","NA","NA","NA","NA","NA","NA","NA","NA","0.91167192429022093","NA","NA","NA","NA","NA","1","NA","NA","NA","NA",-31.6666666666667,0.683333333333333,"0.68333333333333335","Negative","NA","NA","Mix-Lose"
217,428,"Novotny I.P., Tittonell P., Fuentes-Ponce M.H., López-Ridaura S., Rossing W.A.H.",2021,"The importance of the traditional milpa in food security and nutritional self-sufficiency in the highlands of Oaxaca, Mexico","Novotny, I. P., Tittonell, P., Fuentes-Ponce, M. H., Lopez-Ridaura, S., & Rossing, W. A. H. (2021). The importance of the traditional milpa in food security and nutritional self-sufficiency in the highlands of Oaxaca, Mexico. PLoS ONE, 16(2), e0246281. doi:10.1371/journal.pone.0246281","Household","Recall - Survey (Household survey, population censuses, agricultural censuses, and production survey)","Mexico","Central America","UMIC","Unknown","rainfed",20,1.2,"1.2","other","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-33.86454,0.6613546,"NA","NA","NA","0.66135460000000001","Win-Mix"
218,428,"Novotny I.P., Tittonell P., Fuentes-Ponce M.H., López-Ridaura S., Rossing W.A.H.",2021,"The importance of the traditional milpa in food security and nutritional self-sufficiency in the highlands of Oaxaca, Mexico","Novotny, I. P., Tittonell, P., Fuentes-Ponce, M. H., Lopez-Ridaura, S., & Rossing, W. A. H. (2021). The importance of the traditional milpa in food security and nutritional self-sufficiency in the highlands of Oaxaca, Mexico. PLoS ONE, 16(2), e0246281. doi:10.1371/journal.pone.0246281","Household","Recall - Survey (Household survey, population censuses, agricultural censuses, and production survey)","Mexico","Central America","UMIC","Unknown","rainfed",35.714286,1.35714286,"1.35714286","other","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-10,0.9,"NA","NA","NA","0.9","Win-Mix"
219,432,"Nwofia G.E., Jiwuba F., Okpara D.A., Mbah E.U.",2017,"Yield and Productivity of Eggplant Genotypes Intercropped with Vegetable Cowpea in the Humid Tropics","Nwofia, G. E., Jiwuba, F., Okpara, D. A., & Mbah, E. U. (2017). Yield and Productivity of Eggplant Genotypes Intercropped with Vegetable Cowpea in the Humid Tropics. International Journal of Vegetable Science, 23(5), 400-410. doi:10.1080/19315260.2017.1310779","Plot","Experiment (research station)","Nigeria","Africa","LMIC","No synthetic","rainfed",0,1,"1","other","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Positive","NA","NA","NA","NA",32.5051444530329,1.32505144453033,"1.9014933378830339","NA","0.7486095511776234","NA","Mix-Mix"
220,435,"Ojiem J.O., Franke A.C., Vanlauwe B., de Ridder N., Giller K.E.",2014,"Benefits of legume-maize rotations: Assessing the impact of diversity on the productivity of smallholders in Western Kenya","Ojiem, J. O., Franke, A. C., Vanlauwe, B., de Ridder, N., & Giller, K. E. (2014). Benefits of legume–maize rotations: Assessing the impact of diversity on the productivity of smallholders in Western Kenya. Field Crops Research, 168, 75-85. doi:10.1016/j.fcr.2014.08.004","Plot","Experiment (on farm)","Kenya","Africa","LMIC","Synthetic - below threshold","rainfed",6.21061999999999,1.0621062,"1.0621061999999999","Cumulative grain yield","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",3.344507,1.03344507,"1.39285714","NA","NA","0.67403299999999999","Win-Mix"
221,435,"Ojiem J.O., Franke A.C., Vanlauwe B., de Ridder N., Giller K.E.",2014,"Benefits of legume-maize rotations: Assessing the impact of diversity on the productivity of smallholders in Western Kenya","Ojiem, J. O., Franke, A. C., Vanlauwe, B., de Ridder, N., & Giller, K. E. (2014). Benefits of legume–maize rotations: Assessing the impact of diversity on the productivity of smallholders in Western Kenya. Field Crops Research, 168, 75-85. doi:10.1016/j.fcr.2014.08.005","Plot","Experiment (on farm)","Kenya","Africa","LMIC","Synthetic - below threshold","rainfed",22.9523,1.229523,"1.2295229999999999","Cumulative grain yield","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",13.5359,1.135359,"1.5","NA","NA","0.77071800000000001","Win-Mix"
222,435,"Ojiem J.O., Franke A.C., Vanlauwe B., de Ridder N., Giller K.E.",2014,"Benefits of legume-maize rotations: Assessing the impact of diversity on the productivity of smallholders in Western Kenya","Ojiem, J. O., Franke, A. C., Vanlauwe, B., de Ridder, N., & Giller, K. E. (2014). Benefits of legume–maize rotations: Assessing the impact of diversity on the productivity of smallholders in Western Kenya. Field Crops Research, 168, 75-85. doi:10.1016/j.fcr.2014.08.006","Plot","Experiment (on farm)","Kenya","Africa","LMIC","Synthetic - below threshold","rainfed",13.14131,1.1314131,"1.1314131000000001","Cumulative grain yield","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-5.0093715,0.949906285,"1.2589285699999999","NA","NA","0.64088400000000001","Win-Mix"
223,435,"Ojiem J.O., Franke A.C., Vanlauwe B., de Ridder N., Giller K.E.",2014,"Benefits of legume-maize rotations: Assessing the impact of diversity on the productivity of smallholders in Western Kenya","Ojiem, J. O., Franke, A. C., Vanlauwe, B., de Ridder, N., & Giller, K. E. (2014). Benefits of legume–maize rotations: Assessing the impact of diversity on the productivity of smallholders in Western Kenya. Field Crops Research, 168, 75-85. doi:10.1016/j.fcr.2014.08.007","Plot","Experiment (on farm)","Kenya","Africa","LMIC","Synthetic - below threshold","rainfed",-19.26193,0.8073807,"0.80738069999999995","Cumulative grain yield","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-8.41556450000001,0.915844355,"0.96428570999999996","NA","NA","0.86740300000000004","Lose-Lose"
224,435,"Ojiem J.O., Franke A.C., Vanlauwe B., de Ridder N., Giller K.E.",2014,"Benefits of legume-maize rotations: Assessing the impact of diversity on the productivity of smallholders in Western Kenya","Ojiem, J. O., Franke, A. C., Vanlauwe, B., de Ridder, N., & Giller, K. E. (2014). Benefits of legume–maize rotations: Assessing the impact of diversity on the productivity of smallholders in Western Kenya. Field Crops Research, 168, 75-85. doi:10.1016/j.fcr.2014.08.008","Plot","Experiment (on farm)","Kenya","Africa","LMIC","Synthetic - below threshold","rainfed",1.62016,1.0162016,"1.0162016","Cumulative grain yield","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-5.90470000000001,0.940953,"1.125","NA","NA","0.75690599999999997","Win-Mix"
225,435,"Ojiem J.O., Franke A.C., Vanlauwe B., de Ridder N., Giller K.E.",2014,"Benefits of legume-maize rotations: Assessing the impact of diversity on the productivity of smallholders in Western Kenya","Ojiem, J. O., Franke, A. C., Vanlauwe, B., de Ridder, N., & Giller, K. E. (2014). Benefits of legume–maize rotations: Assessing the impact of diversity on the productivity of smallholders in Western Kenya. Field Crops Research, 168, 75-85. doi:10.1016/j.fcr.2014.08.009","Plot","Experiment (on farm)","Kenya","Africa","LMIC","Synthetic - below threshold","rainfed",27.18272,1.2718272,"1.2718271999999999","Cumulative grain yield","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",19.2827785,1.192827785,"1.4464285699999999","NA","NA","0.93922700000000003","Win-Mix"
226,435,"Ojiem J.O., Franke A.C., Vanlauwe B., de Ridder N., Giller K.E.",2014,"Benefits of legume-maize rotations: Assessing the impact of diversity on the productivity of smallholders in Western Kenya","Ojiem, J. O., Franke, A. C., Vanlauwe, B., de Ridder, N., & Giller, K. E. (2014). Benefits of legume–maize rotations: Assessing the impact of diversity on the productivity of smallholders in Western Kenya. Field Crops Research, 168, 75-85. doi:10.1016/j.fcr.2014.08.010","Plot","Experiment (on farm)","Kenya","Africa","LMIC","Synthetic - below threshold","rainfed",12.39872,1.1239872,"1.1239872","Cumulative grain yield","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",19.5795125,1.195795125,"1.71755725","NA","NA","0.67403299999999999","Win-Mix"
227,435,"Ojiem J.O., Franke A.C., Vanlauwe B., de Ridder N., Giller K.E.",2014,"Benefits of legume-maize rotations: Assessing the impact of diversity on the productivity of smallholders in Western Kenya","Ojiem, J. O., Franke, A. C., Vanlauwe, B., de Ridder, N., & Giller, K. E. (2014). Benefits of legume–maize rotations: Assessing the impact of diversity on the productivity of smallholders in Western Kenya. Field Crops Research, 168, 75-85. doi:10.1016/j.fcr.2014.08.011","Plot","Experiment (on farm)","Kenya","Africa","LMIC","Synthetic - below threshold","rainfed",26.31967,1.2631967,"1.2631967","Cumulative grain yield","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",27.848877,1.27848877,"1.7862595400000001","NA","NA","0.77071800000000001","Win-Mix"
228,435,"Ojiem J.O., Franke A.C., Vanlauwe B., de Ridder N., Giller K.E.",2014,"Benefits of legume-maize rotations: Assessing the impact of diversity on the productivity of smallholders in Western Kenya","Ojiem, J. O., Franke, A. C., Vanlauwe, B., de Ridder, N., & Giller, K. E. (2014). Benefits of legume–maize rotations: Assessing the impact of diversity on the productivity of smallholders in Western Kenya. Field Crops Research, 168, 75-85. doi:10.1016/j.fcr.2014.08.012","Plot","Experiment (on farm)","Kenya","Africa","LMIC","Synthetic - below threshold","rainfed",30.07611,1.3007611,"1.3007610999999999","Cumulative grain yield","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",23.6472535,1.236472535,"1.83206107","NA","NA","0.64088400000000001","Win-Mix"
229,435,"Ojiem J.O., Franke A.C., Vanlauwe B., de Ridder N., Giller K.E.",2014,"Benefits of legume-maize rotations: Assessing the impact of diversity on the productivity of smallholders in Western Kenya","Ojiem, J. O., Franke, A. C., Vanlauwe, B., de Ridder, N., & Giller, K. E. (2014). Benefits of legume–maize rotations: Assessing the impact of diversity on the productivity of smallholders in Western Kenya. Field Crops Research, 168, 75-85. doi:10.1016/j.fcr.2014.08.013","Plot","Experiment (on farm)","Kenya","Africa","LMIC","Synthetic - below threshold","rainfed",-17.8738,0.821262,"0.82126200000000005","Cumulative grain yield","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-6.24817049999999,0.937518295,"1.00763359","NA","NA","0.86740300000000004","Lose-Mix"
230,435,"Ojiem J.O., Franke A.C., Vanlauwe B., de Ridder N., Giller K.E.",2014,"Benefits of legume-maize rotations: Assessing the impact of diversity on the productivity of smallholders in Western Kenya","Ojiem, J. O., Franke, A. C., Vanlauwe, B., de Ridder, N., & Giller, K. E. (2014). Benefits of legume–maize rotations: Assessing the impact of diversity on the productivity of smallholders in Western Kenya. Field Crops Research, 168, 75-85. doi:10.1016/j.fcr.2014.08.014","Plot","Experiment (on farm)","Kenya","Africa","LMIC","Synthetic - below threshold","rainfed",5.76970000000001,1.057697,"1.0576970000000001","Cumulative grain yield","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-3.75775350000001,0.962422465,"1.16793893","NA","NA","0.75690599999999997","Win-Mix"
231,435,"Ojiem J.O., Franke A.C., Vanlauwe B., de Ridder N., Giller K.E.",2014,"Benefits of legume-maize rotations: Assessing the impact of diversity on the productivity of smallholders in Western Kenya","Ojiem, J. O., Franke, A. C., Vanlauwe, B., de Ridder, N., & Giller, K. E. (2014). Benefits of legume–maize rotations: Assessing the impact of diversity on the productivity of smallholders in Western Kenya. Field Crops Research, 168, 75-85. doi:10.1016/j.fcr.2014.08.015","Plot","Experiment (on farm)","Kenya","Africa","LMIC","Synthetic - below threshold","rainfed",51.73091,1.5173091,"1.5173091000000001","Cumulative grain yield","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",30.5491365,1.305491365,"1.6717557300000001","NA","NA","0.93922700000000003","Win-Mix"
232,435,"Ojiem J.O., Franke A.C., Vanlauwe B., de Ridder N., Giller K.E.",2014,"Benefits of legume-maize rotations: Assessing the impact of diversity on the productivity of smallholders in Western Kenya","Ojiem, J. O., Franke, A. C., Vanlauwe, B., de Ridder, N., & Giller, K. E. (2014). Benefits of legume–maize rotations: Assessing the impact of diversity on the productivity of smallholders in Western Kenya. Field Crops Research, 168, 75-85. doi:10.1016/j.fcr.2014.08.016","Plot","Experiment (on farm)","Kenya","Africa","LMIC","Synthetic - below threshold","rainfed",44.35644,1.4435644,"1.4435644000000001","Cumulative grain yield","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",36.82665,1.3682665,"2.0625","NA","NA","0.67403299999999999","Win-Mix"
233,435,"Ojiem J.O., Franke A.C., Vanlauwe B., de Ridder N., Giller K.E.",2014,"Benefits of legume-maize rotations: Assessing the impact of diversity on the productivity of smallholders in Western Kenya","Ojiem, J. O., Franke, A. C., Vanlauwe, B., de Ridder, N., & Giller, K. E. (2014). Benefits of legume–maize rotations: Assessing the impact of diversity on the productivity of smallholders in Western Kenya. Field Crops Research, 168, 75-85. doi:10.1016/j.fcr.2014.08.017","Plot","Experiment (on farm)","Kenya","Africa","LMIC","Synthetic - below threshold","rainfed",51.68317,1.5168317,"1.5168317","Cumulative grain yield","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",44.7859,1.447859,"2.125","NA","NA","0.77071800000000001","Win-Mix"
234,435,"Ojiem J.O., Franke A.C., Vanlauwe B., de Ridder N., Giller K.E.",2014,"Benefits of legume-maize rotations: Assessing the impact of diversity on the productivity of smallholders in Western Kenya","Ojiem, J. O., Franke, A. C., Vanlauwe, B., de Ridder, N., & Giller, K. E. (2014). Benefits of legume–maize rotations: Assessing the impact of diversity on the productivity of smallholders in Western Kenya. Field Crops Research, 168, 75-85. doi:10.1016/j.fcr.2014.08.018","Plot","Experiment (on farm)","Kenya","Africa","LMIC","Synthetic - below threshold","rainfed",38.81188,1.3881188,"1.3881188","Cumulative grain yield","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",38.2942,1.382942,"2.125","NA","NA","0.64088400000000001","Win-Mix"
235,435,"Ojiem J.O., Franke A.C., Vanlauwe B., de Ridder N., Giller K.E.",2014,"Benefits of legume-maize rotations: Assessing the impact of diversity on the productivity of smallholders in Western Kenya","Ojiem, J. O., Franke, A. C., Vanlauwe, B., de Ridder, N., & Giller, K. E. (2014). Benefits of legume–maize rotations: Assessing the impact of diversity on the productivity of smallholders in Western Kenya. Field Crops Research, 168, 75-85. doi:10.1016/j.fcr.2014.08.019","Plot","Experiment (on farm)","Kenya","Africa","LMIC","Synthetic - below threshold","rainfed",1.18811999999999,1.0118812,"1.0118811999999999","Cumulative grain yield","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",2.74515,1.0274515,"1.1875","NA","NA","0.86740300000000004","Win-Mix"
236,435,"Ojiem J.O., Franke A.C., Vanlauwe B., de Ridder N., Giller K.E.",2014,"Benefits of legume-maize rotations: Assessing the impact of diversity on the productivity of smallholders in Western Kenya","Ojiem, J. O., Franke, A. C., Vanlauwe, B., de Ridder, N., & Giller, K. E. (2014). Benefits of legume–maize rotations: Assessing the impact of diversity on the productivity of smallholders in Western Kenya. Field Crops Research, 168, 75-85. doi:10.1016/j.fcr.2014.08.020","Plot","Experiment (on farm)","Kenya","Africa","LMIC","Synthetic - below threshold","rainfed",37.82178,1.3782178,"1.3782178","Cumulative grain yield","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",25.3453,1.253453,"1.75","NA","NA","0.75690599999999997","Win-Mix"
