"uniqueID","StudyID_IDALL","Authors","Year","Title","Citation","Unit_analysis","Study_design","Case_countries","Continent","Worldbank_national_income_group","Synthetic_fertiliser_category","Water_source","Suppreg_services_average_percent_transf","Suppreg_services_average","Climate_regulation","Disease_regulation","Pest_regulation","Water_regulation","Water_purification","Pollination","Soil_formation","Nutrient_cycling","Aspect of Nutrient cycling measured","Primary_production","Econ_wellbeing_average_percent_transf","Econ_wellbeing_average","Profit","Financial_security","Physical_capital","Savings_labour_cost","Combined_ecological_social_outcome"
45,74,"Bitew Y., Alemayehu G., Adgo E., Assefa A.",2020,"Competition, production efficiency and yield stability of finger millet and legume additive design intercropping","Bitew, Y., Alemayehu, G., Adgo, E., & Assefa, A. (2020). Competition, production efficiency and yield stability of finger millet and legume additive design intercropping. Renewable Agriculture and Food Systems. doi:10.1017/S1742170520000101","Plot","Experiment (on farm)","Ethiopia","Africa","LIC","Synthetic - below threshold","rainfed",33.9467,1.339467,"NA","NA","1.58","NA","NA","NA","NA","NA","NA","1.0989340000000001",37.65,1.3765,"1.3765000000000001","Positive","NA",NA,"Win-Win"
46,776,"Bitew, Y., Alemayehu, G., Adego, E., & Assefa, A. (2019, Dec).",2019,"Boosting land use efficiency, profitability and productivity of finger millet by intercropping with grain legumes","Bitew, Y., Alemayehu, G., Adego, E., & Assefa, A. (2019). Boosting land use efficiency, profitability and productivity of finger millet by intercropping with grain legumes. Cogent Food & Agriculture, 5(1), 22. doi:10.1080/23311932.2019.1702826","Plot","Experiment (on farm)","Ethiopia","Affrica","LIC","Synthetic - below threshold","rainfed",22.091688,1.22091688,"NA","NA","NA","NA","NA","NA","NA","NA","NA","1.2209168800000001",23.1012395251107,1.23101239525111,"1.2310123952511072","NA","NA",NA,"Win-Win"
47,776,"Bitew, Y., Alemayehu, G., Adego, E., & Assefa, A. (2019, Dec).",2019,"Boosting land use efficiency, profitability and productivity of finger millet by intercropping with grain legumes","Bitew, Y., Alemayehu, G., Adego, E., & Assefa, A. (2019). Boosting land use efficiency, profitability and productivity of finger millet by intercropping with grain legumes. Cogent Food & Agriculture, 5(1), 22. doi:10.1080/23311932.2019.1702826","Plot","Experiment (on farm)","Ethiopia","Affrica","LIC","Synthetic - below threshold","rainfed",1.03223370000001,1.010322337,"NA","NA","NA","NA","NA","NA","NA","NA","NA","1.0103223370000001",35.3598980580227,1.35359898058023,"1.3535989805802267","NA","NA",NA,"Win-Win"
53,99,"Chauhan D.S., Sharma R.K., Kharub A.S., Tripathi S.C., Chhokar R.S.",2001,"Effect of crop intensification on productivity, profitability, energetics and soil fertility in rice (Oryza sativa)-wheat (Triticum aestivum) cropping system of north-western plains","Chauhan, D. S., Sharma, R. K., Kharub, A. S., Tripathi, S. C., & Chhokar, R. S. (2001). Effect of crop intensification on productivity, profitability, energetics and soil fertility in rice (Oryza sativa)-wheat (Triticum aestivum) cropping system of north-western plains. Indian Journal of Agricultural Sciences, 71(5), 299-302.","Plot","Experiment (research station)","India","Asia","LMIC","No synthetic","irrigation",18.5548348,1.185548348,"1.3073929959999999","NA","NA","NA","NA","NA","NA","1.0637037","Available soil nitrogen","NA",28.7423155,1.287423155,"1.2874231549999999","NA","Negative",NA,"Win-Mix"
54,99,"Chauhan D.S., Sharma R.K., Kharub A.S., Tripathi S.C., Chhokar R.S.",2001,"Effect of crop intensification on productivity, profitability, energetics and soil fertility in rice (Oryza sativa)-wheat (Triticum aestivum) cropping system of north-western plains","Chauhan, D. S., Sharma, R. K., Kharub, A. S., Tripathi, S. C., & Chhokar, R. S. (2001). Effect of crop intensification on productivity, profitability, energetics and soil fertility in rice (Oryza sativa)-wheat (Triticum aestivum) cropping system of north-western plains. Indian Journal of Agricultural Sciences, 71(5), 299-302.","Plot","Experiment (research station)","India","Asia","LMIC","No synthetic","irrigation",2.55425965,1.0255425965,"0.953307393","NA","NA","NA","NA","NA","NA","1.0977778","Available soil nitrogen","NA",6.3626177,1.063626177,"1.063626177","NA","Negative",NA,"Mix-Mix"
57,104,"Choudhary R., Singh P., Sidhu H.S., Nandal D.P., Jat H.S., Yadvinder-Singh, Jat M.L.",2016,"Evaluation of tillage and crop establishment methods integrated with relay seeding of wheat and mungbean for sustainable intensification of cotton-wheat system in South Asia","Choudhary, R., Singh, P., Sidhu, H. S., Nandal, D. P., Jat, H. S., Yadvinder, S., & Jat, M. L. (2016). Evaluation of tillage and crop establishment methods integrated with relay seeding of wheat and mungbean for sustainable intensification of cotton-wheat system in South Asia. Field Crops Research, 199, 31-41. doi:10.1016/j.fcr.2016.08.011","Plot","Experiment (research station)","India","Asia","LMIC","Synthetic - below threshold","irrigation",15.7696792,1.157696792,"1.2162192759999999","NA","NA","1.2493295","NA","NA","NA","NA","NA","1.0075415999999999",22.6105005312832,1.22610500531283,"1.315287836","NA","1.1369221746256648",NA,"Win-Mix"
58,105,"Choudhary V.K., Kumar P.S.",2016,"Productivity, Water Use and Energy Profitability of Staggered Maize–Legume Intercropping in the Eastern Himalayan Region of India","Choudhary, V. K., & Kumar, P. S. (2016). Productivity, Water Use and Energy Profitability of Staggered Maize–Legume Intercropping in the Eastern Himalayan Region of India. Proceedings of the National Academy of Sciences India Section B - Biological Sciences, 86(3), 547-557. doi:10.1007/s40011-014-0476-7","Plot","Experiment (research station)","India","Asia","LMIC","Unknown","rainfed",90.56647,1.9056647,"0.98780000000000001","NA","NA","2.8235294","NA","NA","NA","NA","NA","NA",40.48,1.4048,"1.4048","NA","Negative",NA,"Mix-Mix"
59,105,"Choudhary V.K., Kumar P.S.",2016,"Productivity, Water Use and Energy Profitability of Staggered Maize–Legume Intercropping in the Eastern Himalayan Region of India","Choudhary, V. K., & Kumar, P. S. (2016). Productivity, Water Use and Energy Profitability of Staggered Maize–Legume Intercropping in the Eastern Himalayan Region of India. Proceedings of the National Academy of Sciences India Section B - Biological Sciences, 86(3), 547-557. doi:10.1007/s40011-014-0476-7","Plot","Experiment (research station)","India","Asia","LMIC","Unknown","rainfed",107.64575,2.0764575,"0.93200000000000005","NA","NA","3.2209150000000002","NA","NA","NA","NA","NA","NA",58.3,1.583,"1.583","NA","Negative",NA,"Mix-Mix"
60,106,"Choudhary V.K., Kumar P.S.",2013,"Crop and water productivity, profitability and energy consumption pattern of a maize-based crop sequence in the North Eastern Himalayan Region, India","Choudhary, V. K., & Kumar, P. S. (2013). Crop and water productivity, profitability and energy consumption pattern of a maize-based crop sequence in the North Eastern Himalayan Region, India. Archives of Agronomy and Soil Science, 59(5), 653-669. doi:10.1080/03650340.2012.665992","Plot","Experiment (research station)","India","Asia","LMIC","Synthetic - below threshold","rainfed",29.7691552,1.297691552,"1.408573104","NA","NA","1.1868099999999999","NA","NA","NA","NA","NA","NA",87.3669269,1.873669269,"1.8736692690000001","NA","Mixed",NA,"Win-Mix"
61,106,"Choudhary V.K., Kumar P.S.",2013,"Crop and water productivity, profitability and energy consumption pattern of a maize-based crop sequence in the North Eastern Himalayan Region, India","Choudhary, V. K., & Kumar, P. S. (2013). Crop and water productivity, profitability and energy consumption pattern of a maize-based crop sequence in the North Eastern Himalayan Region, India. Archives of Agronomy and Soil Science, 59(5), 653-669. doi:10.1080/03650340.2012.665992","Plot","Experiment (research station)","India","Asia","LMIC","Synthetic - below threshold","rainfed",35.2255,1.352255,"1.46","NA","NA","1.24451","NA","NA","NA","NA","NA","NA",149.9645138,2.499645138,"2.499645138","NA","Mixed",NA,"Win-Mix"
