"uniqueID","StudyID_IDALL","Authors","Year","Title","Citation","Unit_analysis","Study_design","Case_countries","Continent","Worldbank_national_income_group","Synthetic_fertiliser_category","Water_source","Prov_services_average_percent_transf","Prov_services_average","Yield","Recoded_aspect_of_yield","Freshwater","Fuelwood","Fiber","Biochemicals","Genetic_resources","Nonecon_wellbeing_average_percent_transf","Nonecon_wellbeing_average","Natural_capital","Health","Education","Social_cultural_relations","Food_security","Employment","Justice","Property_rights","Combined_ecological_social_outcome"
47,776,"Bitew, Y., Alemayehu, G., Adego, E., & Assefa, A. (2019, Dec).",2019,"Boosting land use efficiency, profitability and productivity of finger millet by intercropping with grain legumes","Bitew, Y., Alemayehu, G., Adego, E., & Assefa, A. (2019). Boosting land use efficiency, profitability and productivity of finger millet by intercropping with grain legumes. Cogent Food & Agriculture, 5(1), 22. doi:10.1080/23311932.2019.1702826","Plot","Experiment (on farm)","Ethiopia","Affrica","LIC","Synthetic - below threshold","rainfed",22.8667072,1.228667072,1.228667072,"Cumulative grain yield","NA","NA","NA","NA","NA",6.16666669999999,1.061666667,"1.0616666669999999","NA","NA","NA","NA","NA","NA","NA","Win-Win"
49,97,"Chapagain T., Pudasaini R., Ghimire B., Gurung K., Choi K., Rai L., Magar S., BK B., Raizada M.N.",2018,"Intercropping of maize, millet, mustard, wheat and ginger increased land productivity and potential economic returns for smallholder terrace farmers in Nepal","Chapagain, T., Pudasaini, R., Ghimire, B., Gurung, K., Choi, K., Rai, L., . . . Raizada, M. N. (2018). Intercropping of maize, millet, mustard, wheat and ginger increased land productivity and potential economic returns for smallholder terrace farmers in Nepal. Field Crops Research, 227, 91-101. doi:10.1016/j.fcr.2018.07.016","Village","Experiment (on farm)","Nepal","Asia","LMIC","Synthetic - below threshold","rainfed",21.022727,1.21022727,1.21022727,"Cumulative grain yield","NA","NA","NA","NA","NA",58,1.58,"1.58","NA","NA","NA","NA","NA","NA","NA","Win-Win"
50,97,"Chapagain T., Pudasaini R., Ghimire B., Gurung K., Choi K., Rai L., Magar S., BK B., Raizada M.N.",2018,"Intercropping of maize, millet, mustard, wheat and ginger increased land productivity and potential economic returns for smallholder terrace farmers in Nepal","Chapagain, T., Pudasaini, R., Ghimire, B., Gurung, K., Choi, K., Rai, L., . . . Raizada, M. N. (2018). Intercropping of maize, millet, mustard, wheat and ginger increased land productivity and potential economic returns for smallholder terrace farmers in Nepal. Field Crops Research, 227, 91-101. doi:10.1016/j.fcr.2018.07.016","Village","Experiment (on farm)","Nepal","Asia","LMIC","Synthetic - below threshold","rainfed",25.568182,1.25568182,1.25568182,"Cumulative grain yield","NA","NA","NA","NA","NA",40,1.4,"1.4","NA","NA","NA","NA","NA","NA","NA","Win-Win"
51,97,"Chapagain T., Pudasaini R., Ghimire B., Gurung K., Choi K., Rai L., Magar S., BK B., Raizada M.N.",2018,"Intercropping of maize, millet, mustard, wheat and ginger increased land productivity and potential economic returns for smallholder terrace farmers in Nepal","Chapagain, T., Pudasaini, R., Ghimire, B., Gurung, K., Choi, K., Rai, L., . . . Raizada, M. N. (2018). Intercropping of maize, millet, mustard, wheat and ginger increased land productivity and potential economic returns for smallholder terrace farmers in Nepal. Field Crops Research, 227, 91-101. doi:10.1016/j.fcr.2018.07.016","Village","Experiment (on farm)","Nepal","Asia","LMIC","Synthetic - below threshold","rainfed",30.487805,1.30487805,1.30487805,"Cumulative grain yield","NA","NA","NA","NA","NA",36,1.36,"1.36","NA","NA","NA","NA","NA","NA","NA","Win-Win"
52,97,"Chapagain T., Pudasaini R., Ghimire B., Gurung K., Choi K., Rai L., Magar S., BK B., Raizada M.N.",2018,"Intercropping of maize, millet, mustard, wheat and ginger increased land productivity and potential economic returns for smallholder terrace farmers in Nepal","Chapagain, T., Pudasaini, R., Ghimire, B., Gurung, K., Choi, K., Rai, L., . . . Raizada, M. N. (2018). Intercropping of maize, millet, mustard, wheat and ginger increased land productivity and potential economic returns for smallholder terrace farmers in Nepal. Field Crops Research, 227, 91-101. doi:10.1016/j.fcr.2018.07.016","Village","Experiment (on farm)","Nepal","Asia","LMIC","Synthetic - below threshold","rainfed",16,1.16,1.16,"Cumulative grain yield","NA","NA","NA","NA","NA",31,1.31,"1.31","NA","NA","NA","NA","NA","NA","NA","Win-Win"
53,99,"Chauhan D.S., Sharma R.K., Kharub A.S., Tripathi S.C., Chhokar R.S.",2001,"Effect of crop intensification on productivity, profitability, energetics and soil fertility in rice (Oryza sativa)-wheat (Triticum aestivum) cropping system of north-western plains","Chauhan, D. S., Sharma, R. K., Kharub, A. S., Tripathi, S. C., & Chhokar, R. S. (2001). Effect of crop intensification on productivity, profitability, energetics and soil fertility in rice (Oryza sativa)-wheat (Triticum aestivum) cropping system of north-western plains. Indian Journal of Agricultural Sciences, 71(5), 299-302.","Plot","Experiment (research station)","India","Asia","LMIC","No synthetic","irrigation",41.898527,1.41898527,1.41898527,"Equivalent yield","NA","NA","NA","NA","NA",3.7741,1.037741,"1.037741","NA","NA","NA","NA","NA","NA","NA","Win-Mix"
54,99,"Chauhan D.S., Sharma R.K., Kharub A.S., Tripathi S.C., Chhokar R.S.",2001,"Effect of crop intensification on productivity, profitability, energetics and soil fertility in rice (Oryza sativa)-wheat (Triticum aestivum) cropping system of north-western plains","Chauhan, D. S., Sharma, R. K., Kharub, A. S., Tripathi, S. C., & Chhokar, R. S. (2001). Effect of crop intensification on productivity, profitability, energetics and soil fertility in rice (Oryza sativa)-wheat (Triticum aestivum) cropping system of north-western plains. Indian Journal of Agricultural Sciences, 71(5), 299-302.","Plot","Experiment (research station)","India","Asia","LMIC","No synthetic","irrigation",8.91980400000001,1.08919804,1.08919804,"Equivalent yield","NA","NA","NA","NA","NA",28.30579,1.2830579,"1.2830579","NA","NA","NA","NA","NA","NA","NA","Mix-Mix"
58,105,"Choudhary V.K., Kumar P.S.",2016,"Productivity, Water Use and Energy Profitability of Staggered Maize–Legume Intercropping in the Eastern Himalayan Region of India","Choudhary, V. K., & Kumar, P. S. (2016). Productivity, Water Use and Energy Profitability of Staggered Maize–Legume Intercropping in the Eastern Himalayan Region of India. Proceedings of the National Academy of Sciences India Section B - Biological Sciences, 86(3), 547-557. doi:10.1007/s40011-014-0476-7","Plot","Experiment (research station)","India","Asia","LMIC","Unknown","rainfed",29.221689,1.29221689,1.29221689,"Equivalent yield","NA","NA","NA","NA","NA",27.42616,1.2742616,"1.2742616","NA","NA","NA","NA","NA","NA","NA","Mix-Mix"
59,105,"Choudhary V.K., Kumar P.S.",2016,"Productivity, Water Use and Energy Profitability of Staggered Maize–Legume Intercropping in the Eastern Himalayan Region of India","Choudhary, V. K., & Kumar, P. S. (2016). Productivity, Water Use and Energy Profitability of Staggered Maize–Legume Intercropping in the Eastern Himalayan Region of India. Proceedings of the National Academy of Sciences India Section B - Biological Sciences, 86(3), 547-557. doi:10.1007/s40011-014-0476-7","Plot","Experiment (research station)","India","Asia","LMIC","Unknown","rainfed",38.057723,1.38057723,1.38057723,"Equivalent yield","NA","NA","NA","NA","NA",37.69339,1.3769339,"1.3769339","NA","NA","NA","NA","NA","NA","NA","Mix-Mix"
60,106,"Choudhary V.K., Kumar P.S.",2013,"Crop and water productivity, profitability and energy consumption pattern of a maize-based crop sequence in the North Eastern Himalayan Region, India","Choudhary, V. K., & Kumar, P. S. (2013). Crop and water productivity, profitability and energy consumption pattern of a maize-based crop sequence in the North Eastern Himalayan Region, India. Archives of Agronomy and Soil Science, 59(5), 653-669. doi:10.1080/03650340.2012.665992","Plot","Experiment (research station)","India","Asia","LMIC","Synthetic - below threshold","rainfed",36.995358,1.36995358,1.68656716,"Equivalent yield","1.0533399999999999","NA","NA","NA","NA",71.45811,1.7145811,"1.7621621999999999","NA","NA","NA","NA","1.667","NA","NA","Win-Mix"
